t,T1,T2,T3,T4,T5,T6,T7,T8,T9
1.94,23.962697565579962,14.675325208909095,10.163112013174748,19.681725741479507,22.606405419791642,21.481559848829086,-8.74192686374971,9.621150580005647,39.74555235077746
1.96,24.55915754598341,15.589069129855005,10.404564153603578,19.645691578614024,22.60425641418985,21.74955778660303,-9.618687824324905,6.490399286701868,37.740482786124524
1.98,25.133477794813363,16.52379823887568,10.691548027611733,19.610769605688024,22.60172956189468,22.026631067951396,-10.336983030213528,3.4407902458923783,35.666757007809956
2.0,25.682896296660836,17.47504498368196,11.02270875515317,19.57712382102475,22.59881578592749,22.311455828140897,-10.893354499666659,0.4869515343458435,33.53431571861584
2.02,26.20476898334613,18.43826066579072,11.396479338478843,19.54491220039589,22.595507853008037,22.602670937692896,-11.285120204587571,-2.3569469284271762,31.353381674027492
2.04,26.6965824356315,19.40883714820062,11.81108804729759,19.514285938667175,22.591800408497924,22.89888451423714,-11.510386989827465,-5.077261268169663,29.134410776585213
2.06,27.1559659849391,20.382128925057565,12.264566832485915,19.485388722264457,22.58769000220806,23.198680603884434,-11.568059650834384,-7.660939149137287,26.888041884719946
2.08,27.5807031384189,21.35347531284801,12.75476061504438,19.45835603742982,22.583175105459922,23.500625955046583,-11.4578463526255,-10.095582400364012,24.62504591756564
2.1,27.968742251218753,22.318222780505543,13.27933755252421,19.433314518283662,22.57825611839104,23.80327689618724,-11.180259965846817,-12.36950644928902,22.356274166069564
2.12,28.31820643056216,23.27174722426424,13.835800107289469,19.410381336215096,22.57293536837739,24.105186251961104,-10.736615700934145,-14.471796390194077,20.092606306541544
2.14,28.62740260365746,24.20947612187288,14.421496927526718,19.389663634476296,22.567217099112085,24.404910280229196,-10.129024852573181,-16.392359352050825,17.844898246805776
2.16,28.894829709901394,25.12691044980764,15.033635469575417,19.371258010516804,22.56110745049867,24.7010155928761,-9.360384729959893,-18.121972928604237,15.623930084267059
2.18,29.119185976736308,26.01964625711228,15.669295301311983,19.35525004861692,22.554614429449884,24.992086026878297,-8.434364818992979,-19.652329433925548,13.440354428312377
2.2,29.299375245223736,26.883395794731094,16.325442024048158,19.341713905001686,22.547747871734085,25.27672943339115,-7.355389243734363,-20.976075778921487,11.304645329588666
2.22,29.434512314361584,27.714008099599138,16.998941747499885,19.330711947456827,22.540519395045045,25.5535843525511,-6.128615608156649,-22.086848777293763,9.227048059195877
2.24,29.523927277553927,28.507488932561436,17.68657604730916,19.322294451234324,22.532942343524077,25.821326541312942,-4.759910321551558,-22.979305708386324,7.21752998370104
2.2600000000000002,29.56716882954551,29.260019970714904,18.385057330649108,19.31649935276724,22.52503172401382,26.078675321817755,-3.255820531773296,-23.649149986380493,5.285732780557135
2.2800000000000002,29.564006530987335,29.967977179508416,19.09104455012533,19.313352062150425,22.51680413429472,26.324399725631565,-1.6235427767785682,-24.09315183766576,3.4409261795016532
2.3000000000000003,29.514432019675723,30.62794827970404,19.801159193941043,19.312865335280193,22.50827768363299,26.557324405557026,0.1291115018554032,-24.30916389034125,1.6919634429122457
2.32,29.41865913364619,31.236749103781637,20.51200138729214,19.315039208258437,22.49947190633659,26.776335247138473,1.9937532770834037,-24.29613140785922,0.04723909596069742
2.34,29.277123016116136,31.791439032325453,21.220166216038994,19.319860989627287,22.490407668123098,26.980384740143354,3.961456182751796,-24.05409757814607,-1.485351546782649
2.36,29.090478118395904,32.289335134111774,21.922259992751368,19.32730531628252,22.481107066335245,27.168496987103204,6.022799226995203,-23.58420328038048,-2.898450133354564
2.38,28.85959517751285,32.7280251665516,22.614916535010504,19.337334268392944,22.471593324072167,27.33977239710705,8.167911956457683,-22.888681750404462,-4.185270667197505
2.4,28.58555714490272,33.105379231238594,23.294813278620907,19.34989754533264,22.46189067906476,27.493391996215756,10.386521709900222,-21.970847925826618,-5.33963202401305
2.42,28.26965409921024,33.41956010827185,23.95868721236392,19.36493270077236,22.452024267561704,27.628621360250207,12.66800285181225,-20.835082626916257,-6.355987635608116
2.44,27.91337716792598,33.66903218560866,24.603350523557292,19.38236543590908,22.44202000397453,27.74481413948542,15.001427667296415,-19.486811633440084,-7.229452110781482
2.46,27.518411480790935,33.852568952799565,25.225705898422436,19.40210994971712,22.431904456720655,27.841415163107744,17.3756187328953,-17.93247973927879,-7.955824701547484
2.48,27.08662819143952,33.969259014658334,25.822761392419373,19.424069344429224,22.421704720940536,27.91796310558747,19.779202477800762,-16.179519918335146,-8.531609479657382
2.5,26.62007560882896,34.01851060555138,26.391644804991184,19.44813608409313,22.411448288688945,27.974092705348912,22.200663683780455,-14.23631777203838,-8.954032150436236
2.52,26.120969471504083,34.000054568880955,26.929617486672203,19.474192504562435,22.40116291718624,28.00953652123387,24.628400676782206,-12.11217138189087,-9.221053394276854
2.54,25.591682411891753,33.913945785604334,27.43408750982771,19.502111372453633,22.3908764957801,28.02412621781512,27.05078093770624,-9.817246763780542,-9.331378667767716
2.56,25.034732680941808,33.76056307961523,27.902622152150293,19.531756489203445,22.38061691230553,28.017793383999162,29.456196848009427,-7.362529246753166,-9.284464497253433
2.58,24.452772149633628,33.54060753551432,28.33295961048209,19.562983339575656,22.370411919389337,27.990569861661275,31.833121337203522,-4.75977081093389,-9.080521089280504
2.6,23.8485736851773,33.2550993120587,28.72301991845228,19.595639779077192,22.360289001414227,27.942587605732953,34.17016314113261,-2.0214338582371627,-8.720511418705192
2.62,23.225017919801687,32.90537288114774,29.070914978321852,19.629566759580104,22.35027524273609,27.874078050453736,36.456121417721185,0.8393685461306313,-8.206146603337869
2.64,22.58507952324535,32.493070810395146,29.37495770024165,19.664599086771364,22.34039719783939,27.78537101413046,38.68003944453787,3.80893541161183,-7.539877808341051
2.66,21.93181299535587,32.02013602329114,29.633670165096277,19.7005662087917,22.33068076398397,27.676893118628392,40.83125716209584,6.873043506145412,-6.724884500756507
2.68,21.268338084109214,31.48880264491667,29.84579080061886,19.73729303003283,22.32115105701347,27.54916575290665,42.89946229231929,10.01701546783813,-5.765059274466472
2.7,20.597824880662657,30.90158544462405,30.01028052455195,19.77460074728874,22.311832290878687,27.402802580762835,44.874739802106596,13.225790115386932,-4.66498924610062
2.72,19.923478663131984,30.26126791539721,30.126327814275964,19.812307704277984,22.302747661515294,27.238506601173643,46.747619448878595,16.48399462319015,-3.4299340846795228
2.74,19.248524572307982,29.570889092057534,30.19335271159859,19.85023025971189,22.293919235513442,27.057066790124267,48.50912123313431,19.776018146839306,-2.0658008916152424
2.7600000000000002,18.576192174943124,28.83372909803818,30.211009690367042,19.88818366596688,22.285367844298552,26.859354316406034,50.15079845770397,23.086086660635495,-0.5791158740782054
2.7800000000000002,17.90970000991846,28.05329357819787,30.179189437080588,19.925982952688464,22.277112984104644,26.6463183782905,51.66477828755558,26.398338511652874,1.0230068364502967
2.8000000000000003,17.252240169993215,27.233297003702337,30.098019471756274,19.963443812555262,22.26917272244471,26.418981652496683,53.04379951589717,29.69690046653195,2.732899285366533
2.82,16.606963009551485,26.37764499480263,29.967863653113227,20.000383483835208,22.261563611364164,26.178435398740227,54.28124742738602,32.96596378230771,4.542376391447824
2.84,15.976962040350719,25.490415696898744,29.78932053401398,20.036621626286138,22.25430060802489,25.92583422747049,55.37118553302629,36.1898600108884,6.442775182082771
2.86,15.365259098905208,24.575840371803945,29.563220634774776,20.07198118533907,22.247397002737628,25.662390580053316,56.308384138430206,39.353136087987636,8.424996198478585
2.88,14.774789844667643,23.63828318892169,29.290622553075046,20.10628924145026,22.240864355231544,25.38936891190084,57.08834541655282,42.4406284560374,10.479547141965545
2.9,14.208389658389065,22.682220384570194,28.97280800021506,20.139377840302117,22.23471243907476,25.108079630970483,57.707325031917904,45.43753582622276,12.596588369244826
2.92,13.668780030506964,21.71221891076549,28.61127578405214,20.171084798603165,22.228949194658433,24.819872826592995,58.16235015302352,48.32949012720694,14.765979974382368
2.94,13.15855546969225,20.732914586783902,28.20773471807088,20.201254483827196,22.22358069103211,24.52613179093058,58.45123373495642,51.102625492485714,16.977330440384883
2.96,12.680171032440898,19.748989967548727,27.764095556826753,20.229738561717785,22.218611096630475,24.22826639890687,58.57258506919649,53.74364473882772,19.22004636746295
2.98,12.235930490218198,18.76515191257886,27.28246192296935,20.25639671073368,22.214042659178038,23.927706339754828,58.525816482402206,56.23988326128223,21.483383328095524
3.0,11.827975240393426,17.786109088995808,26.765120339417432,20.28109729690489,22.209875694770076,23.625894272267086,58.311146199938854,58.579369760942555,23.756497309664983
3.02,11.45827397241439,16.816549419539424,26.214529364596558,20.303718008447063,22.20610858620865,23.324278906480394,57.92959734520023,60.75088374265239,26.028496721523634
3.04,11.12861316743272,15.861117638124583,25.6333079049997,20.32414644536224,22.20273779064325,23.024308061725275,57.38299306352493,62.74400935168202,28.28849459416134
3.06,10.840588450870912,14.924393016385187,25.024222746234763,20.34228066275223,22.199757856406297,22.727421721053158,56.67394782446357,64.54918543061639,30.525660816616803
3.08,10.595596871458156,14.010867423398507,24.390175381609957,20.358029663325038,22.197161449039005,22.43504513211408,55.80585491532602,66.15775138070447,32.72927403805026
3.1,10.394830115679586,13.124923771330367,23.734188180619544,20.371313838423735,22.194939386330457,22.14858197160884,54.782870205904615,67.56198876675377,34.88877310160247
3.12,10.239268711234512,12.270814990552354,23.059389980037498,20.38206535419285,22.19308068222994,21.869407618438956,53.60989225339087,68.75515834208863,36.99380767234811
3.14,10.129677226313346,11.45264359267778,22.369001148082344,20.390228482305147,22.191572599399343,21.598862554726445,52.29253885009633,69.73153244394312,39.03428791309471
3.16,10.066600513143877,10.674341969677867,21.66631821463447,20.39575987212211,22.190400710178956,21.338245941720206,50.8371201213159,70.48642245610395,41.000432853776076
3.18,10.050360993104487,9.939653475143858,20.95469811632168,20.398628764265585,22.189548965687813,21.08880938625117,49.25060829205628,71.01620133782797,42.88281733638704
3.2,10.081057017509156,9.25211444200602,20.23754217148788,20.39881714321954,22.18899977262848,20.851750947768732,47.54060431826821,71.31832097246348,44.67241715505041
3.22,10.158562285368847,8.61503713418579,19.518279803580153,20.396319829970327,22.188734077591505,20.628209386242023,45.71530146208839,71.39132443979273,46.36065239333584
3.24,10.28252633425792,8.031493758152408,18.80035211993361,20.391144513368292,22.18873145836976,20.419258692515424,43.78344602837211,71.23485306776037,47.93942864230221
3.2600000000000002,10.452376132481483,7.504301706817745,18.0871954855119,20.3833117180805,22.188970221683206,20.225902957661788,41.75429553231365,70.84964803506246,49.401175667300194
3.2800000000000002,10.66731870231717,7.0360098861101,17.38222502173762,20.37285471343279,22.189427507298632,20.049071535384122,39.63757427624361,70.23754693431414,50.73888388487169
3.3000000000000003,10.926344820080509,6.628886417629679,16.68881827032681,20.359819359633597,22.19007939749439,19.88961459357519,37.44342681392626,69.40147493440477,51.94613790730051
3.3200000000000003,11.228233751299475,6.284907670976894,16.010299022726272,20.344263893780635,22.190901031631633,19.748299042258875,35.18236938928785,68.34543074755983,53.017147260044034
3.34,11.571558985124588,6.005748598369579,15.349921328044484,20.326258657670873,22.191866725559134,19.625804831216104,32.865239455737516,67.07446755985211,53.946774328978556
3.36,11.954694973749328,5.792774638671793,14.710853938102924,20.305885766138672,22.192950094469538,19.522721706956666,30.50314388431977,65.59466880062517,54.73055884542547
3.38,12.375824822441125,5.647035011503303,14.09616507233503,20.283238719484697,22.194124179541195,19.439546372702402,28.107405695278857,63.91311902655109,55.36473934994485
3.4,12.832948900443448,5.569257527766434,13.508807661113748,20.258421961130807,22.19536157732835,19.376680095911677,25.68950975837016,62.037870008608806,55.84627129345664
3.42,13.32389432284519,5.559845000255119,12.95160520627393,20.23155038286933,22.19663457085594,19.334426794594506,23.261047904940224,59.97790222520687,56.17284153717795
3.44,13.846325280298952,5.618873116069061,12.427238147232961,20.20274877944731,22.197915262897578,19.312991558219053,20.833663240678863,57.74308185889148,56.34287958942303
3.46,14.397754138711923,5.746089940895054,11.93823098854716,20.172151256038617,22.199175709593707,19.312479665444997,18.418994433111024,55.34411361223322,56.35556511127463
3.48,14.975553273809373,5.940916984474063,11.48694015781407,20.139900590739703,22.200388054378955,19.33289607754012,16.028619985595164,52.79248949789749,56.21083184834205
3.5,15.576967607786209,6.202451789365419,11.07554259283161,20.106147553981963,22.201524662038157,19.374145397277996,13.67400257399533,50.10043374554466,55.90936806111853
3.52,16.19912771387589,6.529472126044463,10.706025290232299,20.071050191743076,22.20255825085034,19.436032329901586,11.3664342885733,47.280844402426496,55.45261319227259
3.54,16.8390635132094,6.920441684704055,10.380175679453227,20.0347730716497,22.203462023704983,19.518262608281635,9.116982419993372,44.34723154432489,54.842751038665476
3.56,17.493718455247873,7.37351727504174,10.099572954553764,19.997486497751247,22.204209796843,19.62044439333893,6.936436343977633,41.31365256829243,54.08269935257061
